"mileage","price","year","color","condition","state","soundSystem"
31109,50998,2011,"Gray","CPO","MD","Bang Olufsen"
33400,59980,2010,"White","Used","NY","unsp"
22690,51877,2012,"Black","Used","MA","Harman Kardon"
4497,109644,2014,"Silver","New","CA","unsp"
11,104085,2014,"Blue","New","CA","unsp"
16,107515,2014,"Silver","New","NY","unsp"
85290,25988,2007,"Blue","Used","FL","Premium"
78909,25990,2007,"Silver","Used","FL","unsp"
78540,28220,2007,"Black","Used","MD","Premium"
33016,31492,2007,"Gray","Used","FL","unsp"
151549,24995,2007,"Black","Used","FL","unsp"
47330,29900,2009,"Silver","Used","TX","Harman Kardon"
39764,47995,2010,"Silver","Used","TX","Harman Kardon"
54423,41150,2010,"White","Used","CA","Harman Kardon"
72509,28998,2008,"Black","Used","TX","unsp"
68925,31899,2009,"Gray","Used","NJ","Premium"
69179,29995,2009,"Gray","Used","KY","unsp"
26974,42995,2009,"Red","CPO","FL","unsp"
30346,56790,2013,"Black","Used","NJ","Premium"
17975,65900,2013,"Black","CPO","MO","unsp"
18,109045,2014,"Black","New","FL","unsp"
10,109665,2014,"Black","New","TX","unsp"
15,121400,2014,"Black","New","FL","unsp"
77478,24995,2007,"Gray","Used","FL","Harman Kardon"
94202,25495,2007,"Blue","Used","FL","Premium"
66977,29934,2007,"Black","Used","NC","unsp"
83576,22991,2007,"White","Used","CA","Harman Kardon"
49203,35966,2007,"Black","Used","VA","Premium"
49792,39888,2008,"Black","Used","CA","Premium"
93400,28980,2007,"Gray","Used","TX","Premium"
80293,35995,2011,"Black","Used","NY","unsp"
29371,58777,2013,"Black","CPO","CA","Harman Kardon"
38186,65988,2013,"Black","Used","CA","unsp"
28585,69991,2012,"Black","CPO","GA","unsp"
32195,52950,2013,"Silver","Used","TX","Harman Kardon"
32559,36392,2009,"Black","Used","FL","unsp"
38898,41995,2011,"Black","Used","NY","Harman Kardon"
51583,46998,2010,"Black","CPO","MA","unsp"
45111,38900,2010,"Blue","Used","CT","Harman Kardon"
67006,39995,2011,"Black","Used","NJ","Bang Olufsen"
35829,57991,2011,"Black","CPO","NY","Harman Kardon"
25,94588,2014,"White","Used","CA","unsp"
10,115445,2014,"Black","New","FL","unsp"
47,111170,2014,"White","New","PA","Premium"
59834,27291,2007,"unsp","Used","MS","Harman Kardon"
19228,12995,2007,"Black","Used","UT","unsp"
101236,24995,2007,"Silver","Used","VA","unsp"
79760,31991,2008,"White","Used","CA","Harman Kardon"
34602,35995,2010,"Black","Used","FL","unsp"
47641,43988,2010,"Black","CPO","CA","unsp"
17757,71900,2013,"White","CPO","FL","Harman Kardon"
7895,64995,2013,"Black","CPO","FL","unsp"
30599,54998,2011,"Black","CPO","MA","unsp"
18246,68001,2012,"Black","CPO","NJ","Premium"
